First Name,Last Name,Retirement Season,Age,PP,2P,GB,GP,AB,PA,R,H,HR,AVG,OBP,SLG,OPS,1B,2B,3B,RBI,XBH,TB,SB,CS,BB,K,HBP,ISO,BABIP,SH,SF,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR
Robert,Arias,17,40,RF,OF,1026,1278,3189,3540,441,886,105,.278,.338,.431,.769,617,154,10,367,269,1375,73,31,268,524,35,.153,.302,23,25,12,0,2.8,30.4,.16,.08,.30,8.1,-1.0,7.7,-8.4,2.1,8.6,0.9,25.0
Husky,Bonatello,,26,RF,,355,466,1013,1125,119,247,47,.244,.308,.429,.737,156,41,3,160,91,435,16,5,86,255,11,.186,.278,7,8,1,0,2.4,21.6,.25,.08,.37,4.0,0.7,7.7,-14.0,0.7,-1.0,-0.1,8.2
Cruz,Mercury,10,36,SS,2B,786,800,2540,2815,387,733,123,.289,.347,.500,.847,453,146,11,415,280,1270,11,12,215,271,24,.211,.281,14,22,41,0,3.5,20.7,.11,.08,.38,95.8,-4.3,7.6,-7.6,1.8,93.3,9.5,28.7
Sun-Lee,Kim,,29,1B,3B,589,711,1599,1790,173,385,52,.241,.308,.382,.690,266,64,3,222,119,611,8,4,145,491,17,.141,.311,13,16,6,0,2.5,30.8,.31,.08,.31,-5.7,-1.8,7.5,-11.5,1.0,-10.5,-1.1,12.6
Quattro,Quattro,,31,SS,2B,153,480,413,435,48,109,13,.264,.293,.392,.686,82,14,0,53,27,162,9,1,18,112,0,.128,.331,2,2,1,0,0.9,31.8,.27,.04,.25,-8.9,1.2,7.3,-1.8,0.3,-1.9,-0.2,3.5
Mill,Ellison,17,40,2B,,566,1235,1585,1731,170,406,44,.256,.310,.374,.683,308,54,0,190,98,592,8,2,114,384,14,.117,.310,7,11,23,0,1.4,36.0,.24,.07,.24,-24.3,-0.2,7.3,2.2,0.8,-14.3,-1.5,10.3
Slyde,Hendricks,,35,RF,LF,994,1201,2774,3085,335,684,48,.247,.310,.356,.665,490,133,13,279,194,987,75,30,235,546,28,.109,.289,26,22,10,1,2.6,57.8,.20,.08,.28,-60.2,-0.8,7.2,-39.1,1.5,-91.4,-9.3,13.3
JR,Melendez,11,38,2B,,524,850,1572,1754,181,410,31,.261,.327,.375,.702,295,82,2,172,115,589,7,1,143,279,18,.114,.297,8,13,21,0,2.1,50.7,.18,.08,.28,-24.9,0.2,7.0,2.1,1.0,-14.7,-1.5,10.5
Gerardo,Woodward,15,40,1B,3B,1011,1145,3163,3512,406,871,94,.275,.339,.433,.772,577,185,15,410,294,1368,19,18,271,529,43,.157,.304,17,18,15,0,3.1,33.6,.17,.08,.34,40.4,-5.8,6.9,-17.6,1.9,25.8,2.6,26.6
Duarte,Silva,,35,SS,,736,827,2254,2508,309,586,114,.260,.326,.467,.793,354,111,7,364,232,1053,6,5,210,614,20,.207,.306,6,18,41,0,3.0,19.8,.27,.08,.40,51.0,-2.2,6.9,-1.6,1.1,55.3,5.6,24.3
Get,Betta,18,38,3B,,1119,1330,3375,3738,397,812,110,.241,.307,.385,.692,545,155,2,390,267,1301,3,1,294,665,37,.145,.268,10,22,66,0,2.8,30.7,.20,.08,.33,-56.4,-1.7,6.8,17.5,1.7,-32.1,-3.2,22.3
Alika,Moody,,34,SS,3B,393,468,1141,1278,133,262,48,.230,.303,.404,.707,159,55,0,178,103,461,1,0,114,320,10,.174,.274,6,7,21,0,2.7,23.8,.28,.09,.39,-9.3,-0.4,6.8,3.5,0.7,1.3,0.1,9.6
Marge,Lowbrau,,36,1B,3B,962,985,2989,3321,412,802,136,.268,.331,.472,.803,471,189,6,454,331,1411,9,6,272,602,23,.204,.292,7,30,16,0,3.4,22.0,.20,.08,.41,73.6,-2.8,6.7,-18.1,1.5,60.8,6.2,30.7
Spud,Cannon,16,39,LF,OF,1046,1238,3225,3627,465,916,152,.284,.359,.469,.827,624,140,0,491,292,1512,6,7,363,657,20,.185,.314,4,15,11,0,2.9,21.2,.20,.10,.32,111.3,-3.9,6.6,9.6,2.1,125.7,12.9,37.6
Evilyn,Doom,10,36,CF,OF,745,757,2469,2750,407,723,89,.293,.355,.482,.838,450,167,17,310,273,1191,54,24,227,221,24,.190,.291,8,22,3,0,3.6,27.7,.09,.08,.38,85.2,-1.1,6.6,-8.1,1.9,84.4,8.6,27.4
Lennox,Castaneda,19,40,C,,1118,1501,3130,3497,365,809,95,.258,.326,.400,.725,564,143,7,390,245,1251,7,5,299,614,26,.141,.292,16,26,1,15,2.3,32.9,.20,.09,.30,-12.1,-2.6,6.5,21.3,1.8,14.9,1.5,25.3
Chen,Xiuying,14,38,3B,,256,294,780,863,81,193,18,.247,.317,.346,.663,152,23,0,75,41,270,2,3,71,149,9,.099,.285,1,2,9,0,2.9,43.3,.19,.08,.21,-14.4,-1.5,6.4,4.0,0.2,-5.3,-0.5,5.4
Bam,Dickerson,,34,LF,1B/OF,384,444,1157,1286,170,302,53,.261,.326,.453,.779,187,61,1,186,115,524,3,2,101,238,14,.192,.285,7,7,1,0,2.9,21.8,.21,.08,.38,8.5,-1.2,6.3,3.6,0.8,18.0,1.8,12.2
Wiley,Cole,11,39,CF,1B/OF,777,824,2511,2764,315,699,68,.278,.333,.427,.759,478,138,15,289,221,1071,72,19,200,417,17,.148,.308,11,25,4,0,3.4,36.9,.17,.07,.32,19.1,4.7,6.3,-6.4,1.7,25.4,2.5,21.3
Petri,Hendrix,,29,CF,OF,713,768,2080,2315,238,489,72,.235,.301,.393,.694,308,105,4,275,181,818,23,12,183,624,21,.158,.297,9,22,4,0,3.0,28.9,.30,.08,.37,-29.7,-1.8,6.3,-8.6,1.0,-32.8,-3.3,14.1
Addilyn,Henson,11,41,SS,3B,529,796,1415,1593,145,362,20,.256,.327,.346,.673,279,58,5,137,83,490,40,13,139,439,16,.090,.353,10,13,28,0,2.0,70.8,.31,.09,.23,-31.0,1.4,6.3,4.3,1.0,-18.0,-1.9,9.0
Brash,Stevenson,13,39,2B,IF,730,981,1962,2176,185,490,11,.250,.313,.319,.632,380,96,3,174,110,625,23,7,168,297,20,.069,.287,10,16,38,1,2.2,178.4,.15,.08,.22,-67.9,0.4,6.3,17.9,1.2,-42.0,-4.3,10.6
Nylah,Velazquez,11,41,SS,3B,266,716,597,666,61,160,7,.268,.333,.355,.688,124,27,2,43,36,212,2,2,51,151,9,.087,.346,6,3,9,2,0.9,85.3,.25,.08,.23,-7.5,-0.8,6.3,2.1,0.4,0.5,0.1,4.6
Bing,Flettuce,19,40,LF,IF/OF,670,983,2075,2301,297,587,70,.283,.347,.437,.785,407,110,0,270,180,907,1,1,188,246,23,.154,.292,4,11,12,0,2.3,29.6,.12,.08,.31,43.0,-1.6,6.2,2.8,0.8,51.2,5.2,20.9
Oscar,Dozenrolls,9,41,SS,OF,182,496,417,468,41,97,6,.233,.297,.305,.602,79,12,0,40,18,127,0,0,35,108,5,.072,.296,7,4,4,1,0.9,69.5,.26,.07,.19,-17.4,-0.1,6.1,0.4,0.4,-10.7,-1.1,2.1
Rustie,Meyers,9,40,1B,3B,628,688,1893,2103,251,494,92,.261,.324,.471,.795,282,118,2,310,212,892,9,7,170,438,16,.210,.291,6,18,7,0,3.1,20.6,.23,.08,.43,38.7,-2.0,6.1,-10.9,1.6,33.5,3.4,17.8
Chucky,Whence,18,39,1B,3B,879,965,2644,2933,340,677,119,.256,.320,.451,.771,409,140,9,420,268,1192,29,20,233,752,27,.195,.311,5,24,13,0,3.0,22.2,.28,.08,.40,37.6,-4.8,6.1,-15.3,1.1,24.7,2.5,22.5
Aylin,Peters,,30,C,,637,800,1870,2068,210,476,51,.255,.316,.393,.710,320,104,1,219,156,735,2,2,154,426,21,.139,.302,11,12,0,6,2.6,36.7,.23,.07,.33,-22.9,-1.8,5.9,13.0,0.8,-5.1,-0.5,14.5
Jayleen,Franks,18,42,LF,,1264,1342,3975,4420,489,1003,128,.252,.318,.404,.722,662,206,7,475,341,1607,3,5,360,658,37,.152,.271,11,37,9,0,3.3,31.1,.17,.08,.34,-16.8,-3.7,5.8,-0.4,2.3,-12.6,-1.3,28.8
Madilynn,Gentry,18,44,RF,C,777,1391,2115,2366,236,556,36,.263,.330,.364,.693,421,93,6,236,135,769,12,8,191,401,28,.101,.307,15,17,5,4,1.7,58.8,.19,.08,.24,-36.1,-2.4,5.8,5.4,1.5,-25.8,-2.6,13.6
Duke,Bilgewater,,21,SS,3B,75,80,236,256,28,60,10,.254,.309,.436,.745,37,13,0,31,23,103,0,0,19,30,0,.182,.254,0,1,3,0,3.2,23.6,.13,.07,.38,3.8,-0.3,5.8,1.2,0.4,11.0,1.1,4.6
Jazzy,Knoxville,,27,RF,OF,630,640,2015,2257,338,578,62,.287,.356,.452,.808,382,121,13,275,196,911,134,29,201,351,22,.165,.319,4,15,6,0,3.5,32.5,.17,.09,.34,50.2,14.9,5.5,-5.8,1.2,66.1,6.8,24.2
Seppo,Heikkinen,,33,CF,1B/OF,816,843,2711,2961,415,777,86,.287,.341,.433,.775,567,108,16,309,210,1175,116,50,215,444,15,.147,.315,10,10,5,0,3.5,31.5,.16,.07,.27,34.0,-1.5,5.4,-7.3,1.3,31.8,3.3,25.3
Desta,Negasi,,24,2B,3B,54,80,150,168,16,33,2,.220,.289,.313,.602,24,6,1,13,9,47,1,0,14,47,1,.093,.304,2,1,1,0,2.1,75.0,.31,.08,.27,-5.0,-0.5,5.3,1.1,0.3,1.2,0.1,2.7
Shoshanna,al-Habib,,29,3B,2B,552,555,1724,1929,256,495,94,.287,.352,.511,.863,304,90,7,297,191,881,8,2,166,329,17,.224,.304,5,17,25,0,3.5,18.3,.19,.09,.39,92.4,-0.4,5.2,-17.4,1.1,80.9,8.2,23.0
Erika,Peppers,15,40,SS,2B,490,843,1349,1509,161,362,33,.268,.337,.403,.740,248,79,2,166,114,544,4,4,128,266,16,.135,.311,7,9,25,0,1.8,40.9,.20,.08,.31,8.9,-1.8,5.2,-4.7,0.7,8.2,0.8,11.1
Cash,Considerations,,28,SS,2B,536,720,1483,1661,160,380,30,.256,.328,.359,.687,288,61,1,159,92,533,14,7,144,319,18,.103,.307,9,7,27,0,2.3,49.4,.22,.09,.24,-19.2,-2.2,5.1,-5.8,0.9,-21.2,-2.2,10.4
Hezekiah,Adkins,14,39,2B,,658,1063,1659,1848,180,365,49,.220,.293,.345,.638,256,60,0,177,109,572,2,0,165,578,9,.125,.305,10,5,31,0,1.7,33.9,.35,.09,.30,-47.1,-0.4,5.1,2.6,1.0,-38.8,-3.9,8.7
Waldorf,Quantum,,30,CF,1B,462,473,1457,1642,234,412,88,.283,.353,.534,.887,230,86,8,265,182,778,67,24,147,303,19,.251,.300,5,14,0,0,3.5,16.6,.21,.09,.44,74.1,1.4,5.0,-5.9,1.0,75.7,7.6,20.7
Bria,Hoover,19,32,CF,1B/OF,926,952,2845,3171,427,738,135,.259,.325,.475,.800,413,173,17,435,325,1350,118,32,253,745,35,.215,.303,16,22,8,0,3.3,21.1,.26,.08,.44,50.2,7.5,5.0,-7.6,1.2,56.4,5.8,27.4
Ivan,Patton,10,38,3B,1B,187,647,458,524,100,111,7,.242,.318,.338,.656,84,17,3,58,27,155,15,11,50,114,3,.096,.304,8,5,4,0,0.8,65.4,.25,.10,.24,-13.3,-2.2,5.0,-1.2,0.4,-11.4,-1.2,2.4
Caden,Minors,,34,CF,OF,845,944,2335,2592,284,583,63,.250,.315,.384,.699,408,99,13,281,175,897,48,26,210,613,18,.134,.311,15,14,7,0,2.7,37.1,.26,.08,.30,-34.5,-3.2,5.0,-9.6,1.0,-41.3,-4.2,14.2
Yusuf,Santos,12,38,CF,OF,808,899,2490,2751,315,695,64,.279,.340,.419,.759,487,132,12,278,208,1043,46,31,223,383,12,.140,.307,13,13,6,0,3.1,38.9,.15,.08,.30,20.1,-5.9,5.0,-8.8,1.7,12.1,1.3,20.0
Veranda,O'Cherio,8,40,3B,SS,432,622,1128,1237,108,255,31,.226,.283,.345,.628,184,39,1,131,71,389,1,2,80,375,12,.119,.307,10,7,22,0,2.0,36.4,.33,.06,.28,-39.5,-1.1,4.9,0.3,0.9,-34.4,-3.5,4.9
Shinji,Yunitowon,,28,1B,3B,398,400,1301,1422,199,382,62,.294,.348,.498,.846,245,70,5,174,137,648,15,6,102,173,10,.204,.299,3,6,4,0,3.6,21.0,.13,.07,.36,46.1,-0.4,4.9,-8.3,1.0,43.3,4.4,15.9
Kyrie,Boone,6,39,3B,SS,446,480,1370,1508,150,355,55,.259,.313,.441,.754,218,80,2,212,137,604,0,2,106,250,8,.182,.278,10,14,23,0,3.1,24.9,.18,.07,.39,9.9,-1.2,4.9,0.4,1.3,15.2,1.5,11.8
Stoney,Baloney,,32,CF,1B/OF,445,461,1479,1615,272,418,47,.283,.336,.446,.782,286,69,16,174,132,660,164,10,112,282,11,.164,.320,4,9,2,0,3.5,31.5,.19,.07,.32,28.0,30.5,4.8,-4.3,1.0,60.1,6.0,18.9
Arms,Snell,14,41,CF,,966,1009,2902,3237,389,721,105,.248,.317,.413,.730,470,129,17,338,251,1199,271,27,264,750,35,.165,.298,15,21,5,0,3.2,27.6,.26,.08,.35,-6.5,40.7,4.8,1.1,1.8,41.8,4.2,26.3
Manny,Mann,,26,CF,OF,541,560,1624,1780,206,408,43,.251,.307,.394,.701,278,71,16,171,130,640,69,22,117,356,19,.143,.296,10,10,3,0,3.2,37.8,.22,.07,.32,-31.0,1.3,4.8,-6.5,1.0,-30.4,-3.1,10.3
Victor,Bruno,14,40,C,3B,599,1088,1759,1943,198,433,40,.246,.310,.356,.666,320,72,1,190,113,627,6,3,142,306,25,.110,.276,7,10,9,11,1.8,44.0,.17,.07,.26,-35.7,-1.1,4.8,23.0,1.0,-8.0,-0.8,12.5
Edwina,Madden,13,40,CF,IF/OF,462,901,958,1070,147,247,3,.258,.330,.308,.638,207,35,2,85,40,295,34,10,91,221,14,.050,.331,4,3,8,5,1.2,319.3,.23,.09,.16,-29.7,1.9,4.7,6.3,0.6,-16.1,-1.7,5.6
Ken,Noble,6,37,2B,SS,451,480,1341,1510,189,372,67,.277,.350,.488,.839,226,76,3,223,146,655,1,1,142,253,14,.211,.296,3,10,22,0,3.1,20.0,.19,.09,.39,48.3,-0.7,4.7,-1.1,1.3,52.5,5.3,15.6
Boba,Crush,,25,3B,SS,292,320,881,986,115,225,28,.255,.321,.403,.724,153,42,2,103,72,355,6,7,81,194,9,.148,.294,4,11,14,0,3.1,31.5,.22,.08,.32,5.9,-3.2,4.6,0.3,0.8,8.4,0.8,9.3
Miguel,Wilcox,12,42,2B,SS,368,642,935,1040,99,204,39,.218,.291,.382,.673,130,34,1,129,74,357,1,2,93,324,5,.164,.286,2,5,17,0,1.6,24.0,.35,.09,.36,-23.6,-1.1,4.6,-0.9,0.7,-20.4,-2.1,5.0
Cheyenne,Houndstooth,,21,2B,3B,106,161,298,323,29,75,4,.252,.307,.336,.642,58,13,0,24,17,100,2,0,21,73,3,.084,.320,0,1,0,0,2.0,74.5,.24,.07,.23,-26.5,-0.8,4.5,1.6,0.3,-20.8,-2.1,1.6
