Season,First Name,Last Name,Team,Age,Role,WAR,W,L,ERA,GP,GS,IP,CG,SHO,SV,K,BB,H,ER,HR,HBP,FIP,TP,BF,RA,WP,BAA,WHIP,WPCT,OBPA,K/BB,K/9,BB/9,H/9,HR/9,PPI,PPG,RA,Def,Corr,RA9def,RAA,RAAlev,WAA,WAR
1,Bryan,Brewer,BSD,30,RP,1.6,9,1,2.40,42,0,45.0,0,0,0,33,26,39,12,7,2,3.91,732,203,13,1,.192,1.44,.900,.330,1.27,6.6,5.2,7.8,1.4,16.3,17.4,13,0.38,0.012,2.68,8.44,8.13,0.80,1.55
1,Bridgette,Rilow,HAV,32,SP,3.5,4,4,2.44,20,20,81.0,1,1,0,64,35,72,22,8,4,3.48,1310,352,23,1,.205,1.32,.500,.315,1.83,7.1,3.9,8.0,0.9,16.2,65.5,23,0.49,0.021,2.61,19.72,19.72,1.94,3.46
1,Geronimo,Arkansas,PAL,30,SP,4.8,9,5,2.48,21,21,112.2,1,1,0,104,26,78,31,9,4,3.10,1665,441,32,1,.177,0.92,.643,.245,4.00,8.3,2.1,6.2,0.7,14.8,79.3,32,1.19,0.030,2.65,27.67,27.67,2.72,4.83
1,Ryder,Vargas,MSLA,27,RP,2.7,10,1,2.49,56,0,72.1,0,0,1,65,18,56,20,7,2,3.20,1102,285,21,1,.196,1.02,.909,.267,3.61,8.1,2.2,7.0,0.9,15.2,19.7,21,-0.49,0.019,2.55,15.36,15.00,1.47,2.68
1,August,Wheeler,KBC,34,SP/RP,3.0,1,2,2.51,19,19,79.0,0,0,0,72,21,58,22,10,0,3.31,1130,310,22,2,.187,1.00,.133,.255,3.43,8.2,2.4,6.6,1.1,14.3,59.5,22,0.08,0.021,2.52,16.79,16.44,1.61,3.02
1,Leonard,Gett,MFP,25,CL,1.1,3,1,2.54,23,0,28.1,0,0,12,25,4,24,8,0,0,2.65,425,114,8,1,.211,0.99,.750,.246,6.25,7.9,1.3,7.6,0.0,15.0,18.5,8,0.01,0.007,2.54,5.99,5.96,0.58,1.06
1,Sawyer,Humphrey,PAL,36,SP/RP,2.2,10,1,2.66,38,0,61.0,0,0,0,65,14,51,18,4,2,2.94,878,247,18,0,.206,1.07,.909,.271,4.64,9.6,2.1,7.5,0.6,14.4,23.1,18,0.65,0.016,2.75,11.96,11.71,1.15,2.24
1,Luka,Oldy,HAV,28,RP,2.4,6,2,2.66,49,0,67.2,0,0,0,69,10,57,20,8,2,3.11,986,265,20,1,.215,0.99,.750,.260,6.90,9.2,1.3,7.6,1.1,14.6,20.1,20,0.36,0.018,2.71,13.17,12.68,1.24,2.37
1,Jordan,Vegas,MUN,26,SP,3.6,7,8,2.68,20,20,104.0,2,1,0,90,33,88,31,9,4,3.25,1607,431,38,0,.204,1.16,.467,.290,2.73,7.8,2.9,7.6,0.8,15.5,80.4,38,1.65,0.027,3.43,16.65,16.65,1.63,3.60
1,Yousef,Gleaming,SPT,27,RP,1.7,8,2,2.70,47,0,56.2,0,0,1,51,20,57,17,4,2,3.19,890,249,20,0,.229,1.36,.800,.317,2.55,8.1,3.2,9.1,0.6,15.7,18.9,20,-0.55,0.015,3.09,8.02,7.85,0.77,1.72
1,Zane,Erickson,CDMX,28,RP,2.5,7,4,2.76,49,0,71.2,0,0,3,75,20,51,22,6,1,3.06,1014,276,22,0,.185,0.99,.636,.261,3.75,9.4,2.5,6.4,0.8,14.1,20.7,22,0.17,0.019,2.78,13.33,13.47,1.32,2.52
1,Bolt,Reliable,MUN,24,CL,0.8,1,3,2.79,29,0,29.0,0,0,17,34,5,24,9,3,2,3.01,437,116,11,1,.207,1.00,.250,.267,6.80,10.6,1.6,7.4,0.9,15.1,15.1,11,0.40,0.008,3.54,3.18,3.27,0.32,0.81
1,Kinley,Blair,VAL,27,SP/RP,2.0,2,3,2.80,28,13,64.1,0,0,0,49,21,56,20,4,5,3.27,1049,272,21,3,.206,1.20,.400,.301,2.13,6.9,2.9,7.8,0.6,16.3,37.5,21,1.21,0.017,3.11,8.98,8.80,0.86,2.01
1,Vito,Colbert,DAK,37,SP/RP,2.4,2,7,2.82,20,20,73.1,0,0,0,58,27,69,23,8,3,3.45,1096,306,25,0,.225,1.31,.222,.324,2.15,7.1,3.3,8.5,1.0,14.9,54.8,25,-0.13,0.019,3.05,11.49,11.26,1.10,2.41
1,Axl,Trujillo,SCS,27,RP,2.0,8,4,2.83,45,0,57.1,0,0,0,54,20,58,18,9,2,3.54,937,249,18,1,.233,1.36,.667,.321,2.70,8.5,3.1,9.1,1.4,16.3,20.8,18,-0.31,0.015,2.78,11.07,10.66,1.05,2.01
1,Trevor,Phillips,HON,26,RP,1.4,8,2,2.84,38,0,57.0,0,0,1,48,15,46,18,5,0,3.18,830,223,22,0,.206,1.07,.800,.274,3.20,7.6,2.4,7.3,0.8,14.6,21.8,22,0.13,0.015,3.49,4.63,4.55,0.45,1.41
1,Jeremiah,Wade,HON,29,SP,2.4,6,4,2.88,15,15,75.0,0,0,0,66,17,66,24,7,2,3.17,1126,308,28,1,.214,1.11,.600,.276,3.88,7.9,2.0,7.9,0.8,15.0,75.1,28,0.18,0.020,3.38,9.74,9.74,0.96,2.37
1,Angelo,Huynh,SCS,41,SP/RP,2.2,3,5,2.91,36,9,65.0,0,0,1,41,31,61,21,3,5,3.43,1009,278,22,0,.219,1.42,.375,.349,1.32,5.7,4.3,8.4,0.4,15.5,28.0,22,-0.37,0.017,2.99,10.98,11.00,1.08,2.24
1,Joeffrey,Rockman,MSLA,38,SP,3.3,4,3,2.91,19,19,89.2,1,0,0,78,26,89,29,5,5,3.11,1449,382,32,1,.233,1.28,.571,.314,3.00,7.8,2.6,8.9,0.5,16.2,76.3,32,-0.68,0.024,3.14,16.56,16.56,1.62,3.31
1,James,Dozer,PDX,22,RP,2.0,6,2,2.95,43,0,58.0,0,0,1,46,23,44,19,3,5,3.28,885,238,19,0,.185,1.16,.750,.303,2.00,7.1,3.6,6.8,0.5,15.3,20.6,19,-0.12,0.015,2.93,10.28,10.08,0.99,1.96
1,Braxton,Plough,MFP,22,SP,3.6,3,7,2.98,20,20,93.2,0,0,0,91,29,93,31,10,6,3.29,1454,402,31,1,.231,1.30,.300,.318,3.14,8.7,2.8,8.9,1.0,15.5,72.7,31,0.02,0.025,2.98,18.82,18.82,1.85,3.61
1,Chip,Foley,HON,31,CL,0.7,2,3,3.00,28,0,30.0,0,0,16,25,11,28,10,3,3,3.44,482,131,12,0,.214,1.30,.400,.321,2.27,7.5,3.3,8.4,0.9,16.1,17.2,12,0.07,0.008,3.62,2.01,2.05,0.20,0.71
1,Jimena,Regulation,SPT,37,SP,3.7,6,2,3.04,20,20,100.2,0,0,0,96,28,94,34,9,4,3.17,1583,424,35,0,.222,1.21,.750,.297,3.43,8.6,2.5,8.4,0.8,15.7,79.2,35,-0.92,0.027,3.05,18.46,18.46,1.81,3.70
1,Johnathan,Bentley,BBR,23,RP,1.9,7,1,3.04,45,0,68.0,0,0,1,57,25,47,23,7,1,3.37,1010,268,25,1,.175,1.06,.875,.272,2.28,7.5,3.3,6.2,0.9,14.9,22.4,25,0.34,0.018,3.35,8.26,8.10,0.79,1.94
1,Dimo,Papardelle,CAS,26,RP,1.8,8,2,3.05,39,0,59.0,0,0,4,52,15,55,20,4,0,3.06,863,240,22,0,.229,1.19,.800,.292,3.47,7.9,2.3,8.4,0.6,14.6,22.1,22,-0.77,0.016,3.24,8.25,8.59,0.84,1.84
1,Guido,Sanducci,DAK,30,RP,2.0,4,3,3.06,50,0,64.2,0,0,1,50,17,61,22,5,1,3.20,981,270,23,0,.226,1.21,.571,.293,2.94,7.0,2.4,8.5,0.7,15.2,19.6,23,-0.12,0.017,3.18,9.19,8.99,0.88,1.96
1,Jessie,Hart,NYN,28,RP,1.7,5,3,3.10,48,0,66.2,0,0,0,52,20,63,23,9,2,3.50,1001,280,27,1,.225,1.24,.625,.304,2.60,7.0,2.7,8.5,1.2,15.0,20.9,27,-0.11,0.018,3.63,6.17,5.94,0.58,1.70
1,Walter,Ford,DAK,37,RP,1.9,6,3,3.12,46,0,60.2,0,0,0,43,19,57,21,5,0,3.30,934,250,21,1,.228,1.25,.667,.304,2.26,6.4,2.8,8.5,0.7,15.4,20.3,21,-0.11,0.016,3.10,9.19,8.85,0.87,1.88
1,Augustine,Anaya,VAL,32,SP,3.4,7,5,3.17,20,20,102.1,3,2,0,67,40,83,36,5,6,3.32,1514,426,36,3,.195,1.20,.583,.303,1.68,5.9,3.5,7.3,0.4,14.8,75.7,36,1.92,0.027,3.34,15.49,15.49,1.52,3.45
1,Lorenzo,Massey,CDMX,42,RP,0.5,0,0,3.18,14,0,17.0,0,0,2,8,6,18,6,2,1,3.71,241,73,6,0,.247,1.41,NaN,.342,1.13,4.2,3.2,9.5,1.1,14.2,17.2,6,0.06,0.004,3.21,2.37,2.54,0.25,0.54
1,Evangeline,Greenman,VAL,22,SP,2.6,4,9,3.20,20,20,101.1,2,0,0,89,27,86,36,11,6,3.31,1529,422,44,3,.204,1.12,.308,.282,3.30,7.9,2.4,7.6,1.0,15.1,76.5,44,1.81,0.027,4.07,7.09,7.09,0.70,2.60
1,Constantine,Rockefeller,CAS,25,RP,2.0,8,3,3.20,43,0,59.0,0,0,6,60,23,61,21,8,1,3.42,1011,253,21,0,.241,1.42,.727,.336,2.61,9.2,3.5,9.3,1.2,17.1,23.5,21,-0.74,0.016,3.09,9.21,9.86,0.97,1.96
1,Jefferson,Tate,KBC,33,SP,3.3,10,5,3.24,20,20,100.0,1,0,0,80,29,90,36,8,8,3.28,1506,419,38,0,.215,1.19,.667,.303,2.76,7.2,2.6,8.1,0.7,15.1,75.3,38,0.12,0.026,3.43,14.87,14.87,1.46,3.35
1,Estella,Toolsy,NYN,41,RP,0.7,4,1,3.24,23,0,25.0,0,0,0,13,12,20,9,5,0,4.10,396,106,10,0,.189,1.28,.800,.302,1.08,4.7,4.3,7.2,1.8,15.8,17.2,10,-0.04,0.007,3.59,2.44,2.35,0.23,0.65
1,Jorge,Cuevas,SEO,22,RP,1.1,8,0,3.31,37,0,49.0,0,0,0,40,10,46,18,6,4,3.37,724,205,22,0,.224,1.14,1.000,.293,4.00,7.3,1.8,8.4,1.1,14.8,19.6,22,0.67,0.013,4.16,2.79,2.68,0.26,1.09
1,Tony,Dalton,MFP,35,SP/RP,2.1,2,6,3.31,20,20,73.1,0,0,0,70,24,60,27,11,2,3.47,1173,302,28,0,.199,1.15,.250,.285,2.92,8.6,2.9,7.4,1.4,16.0,58.7,28,0.02,0.019,3.44,8.22,8.05,0.79,2.09
1,Everly,Valdez,DUB,26,SP,2.7,6,5,3.33,20,20,94.2,1,0,0,71,43,91,35,8,3,3.45,1552,410,41,2,.222,1.42,.545,.334,1.65,6.8,4.1,8.7,0.8,16.4,77.6,41,0.87,0.025,3.98,9.38,9.38,0.92,2.70
1,Yup,Shannon,BSD,36,CL,1.0,1,3,3.34,32,0,35.0,0,0,22,33,11,35,13,4,0,3.28,522,149,13,0,.235,1.31,.250,.309,3.00,8.5,2.8,9.0,1.0,14.9,16.3,13,0.28,0.009,3.42,3.69,4.01,0.39,0.98
1,Santiago,Tattersall,BBR,33,SP,2.6,4,10,3.35,21,21,94.0,0,0,0,89,38,86,35,6,4,3.19,1564,404,41,4,.213,1.32,.286,.317,2.34,8.5,3.6,8.2,0.6,16.6,74.5,41,0.51,0.025,3.97,8.51,8.51,0.84,2.61
1,Elder,Nash,JAK,25,RP,1.4,7,2,3.38,34,0,50.2,0,0,3,39,20,55,19,3,2,3.28,815,222,19,1,.248,1.48,.778,.347,1.95,6.9,3.6,9.8,0.5,16.1,24.0,19,0.12,0.013,3.40,5.63,5.81,0.57,1.41
1,Harper,Donathan,MTL,26,SP/RP,2.1,3,6,3.39,20,20,74.1,0,0,0,74,18,68,28,8,3,3.19,1186,314,31,1,.217,1.16,.133,.283,4.11,9.0,2.2,8.2,1.0,16.0,59.3,31,-1.36,0.020,3.59,7.73,7.57,0.74,2.07
1,Lenny,Sacred,GLA,25,CL,1.2,5,5,3.40,38,0,45.0,0,0,22,29,24,40,17,3,3,3.56,750,196,18,1,.204,1.42,.500,.342,1.21,5.8,4.8,8.0,0.6,16.7,19.7,18,-0.20,0.012,3.56,4.82,4.95,0.49,1.24
1,Besto,Love,SEO,25,SP,3.4,4,10,3.41,20,20,103.0,2,0,0,94,21,92,39,12,4,3.24,1567,421,41,0,.219,1.10,.286,.278,4.48,8.2,1.8,8.0,1.0,15.2,78.4,41,1.35,0.027,3.70,15.28,15.28,1.50,3.44
1,Muhammad,Mena,CAS,32,SP,3.4,6,3,3.41,20,20,100.1,1,1,0,84,28,97,38,9,1,3.22,1497,407,40,0,.238,1.25,.667,.310,3.00,7.5,2.5,8.7,0.8,14.9,74.9,40,-1.31,0.026,3.47,15.28,15.28,1.50,3.39
1,Brantley,Driver,BBR,20,RP,0.5,5,0,3.44,37,0,36.2,0,0,0,26,27,38,14,1,1,3.51,641,170,19,1,.224,1.77,1.000,.388,0.96,6.4,6.6,9.3,0.2,17.5,17.3,19,0.22,0.010,4.72,-1.10,-1.10,-0.11,0.50
1,Payton,Burton,NYF,31,CL,0.9,0,3,3.45,32,0,31.1,0,0,19,32,12,24,12,4,1,3.39,502,127,12,0,.189,1.15,.000,.291,2.67,9.2,3.4,6.9,1.1,16.0,15.7,12,-0.10,0.008,3.42,3.64,3.76,0.37,0.89
1,Wheet,Hanson,DUB,25,SP,3.0,8,5,3.46,20,20,104.0,3,0,0,77,38,91,40,15,2,3.62,1556,432,45,1,.211,1.24,.615,.303,2.03,6.7,3.3,7.9,1.3,15.0,77.8,45,0.92,0.027,3.97,10.39,10.39,1.02,2.98
1,Maci,Watson,SEO,29,SP,2.9,6,9,3.48,20,20,98.1,2,1,0,87,23,86,38,10,1,3.19,1530,403,43,1,.213,1.11,.400,.273,3.78,8.0,2.1,7.9,0.9,15.6,76.5,43,1.31,0.026,4.06,10.70,10.70,1.05,2.90
1,Dakota,Bishop,MUN,27,SP,3.2,6,5,3.48,20,20,103.1,0,0,0,71,32,95,40,14,4,3.58,1562,430,41,1,.221,1.23,.545,.305,2.22,6.2,2.8,8.3,1.2,15.1,78.1,41,1.73,0.027,3.72,13.21,13.21,1.30,3.24
1,Rhyse,Olsen,PIT,27,RP,1.8,10,0,3.50,53,0,69.1,0,0,2,53,21,75,27,8,2,3.42,1082,299,27,2,.251,1.38,1.000,.328,2.52,6.9,2.7,9.7,1.0,15.6,20.4,27,0.26,0.018,3.54,6.61,6.55,0.64,1.81
1,Dennis,Pitts,JSB,30,RP,1.4,9,2,3.53,43,0,58.2,0,0,5,35,24,58,23,6,2,3.59,932,253,25,2,.229,1.40,.818,.332,1.46,5.4,3.7,8.9,0.9,15.9,21.7,25,-0.46,0.015,3.77,4.12,4.33,0.43,1.40
1,Thalia,Ryan,NGO,33,SP,2.8,6,6,3.55,20,20,99.0,1,0,0,91,29,87,39,16,2,3.50,1581,409,42,0,.213,1.17,.500,.289,3.14,8.3,2.6,7.9,1.5,16.0,79.1,42,0.17,0.026,3.83,9.59,9.59,0.94,2.81
1,Crosby,Beefy,NYF,37,SP/RP,1.2,10,2,3.56,36,0,55.2,0,0,0,39,17,57,22,5,1,3.35,846,236,26,0,.242,1.33,.833,.318,2.29,6.3,2.7,9.2,0.8,15.2,23.5,26,-0.22,0.015,4.17,1.83,1.79,0.18,1.16
1,Manuel,Norman,MFP,34,RP,1.8,8,4,3.57,55,0,75.2,0,0,1,60,24,67,30,6,3,3.27,1129,303,32,2,.221,1.20,.667,.310,2.50,7.1,2.9,8.0,0.7,14.9,20.5,32,0.02,0.020,3.81,5.37,5.25,0.52,1.78
1,Snak,Morrison,NGO,29,RP,1.1,8,1,3.59,33,0,42.2,0,0,6,34,20,42,17,6,1,3.67,684,188,17,0,.223,1.45,.889,.335,1.70,7.2,4.2,8.9,1.3,16.0,20.7,17,0.08,0.011,3.60,3.64,4.01,0.39,1.10
1,Earl,Arthur,NYN,31,SP,1.8,4,2,3.59,12,11,57.2,0,0,0,52,18,59,23,4,1,3.13,924,249,24,0,.237,1.34,.667,.313,2.89,8.1,2.8,9.2,0.6,16.0,77.0,24,-0.09,0.015,3.73,6.89,6.89,0.68,1.75
1,Morgan,Locos,MUN,36,SP,2.9,7,9,3.70,20,20,104.2,4,1,0,71,34,108,43,15,3,3.62,1546,445,45,1,.243,1.36,.438,.326,2.09,6.1,2.9,9.3,1.3,14.8,77.3,45,1.80,0.028,4.02,9.86,9.86,0.97,2.93
1,Pond,Rumms,NYN,30,SP,1.9,4,4,3.71,20,20,60.2,1,1,0,42,13,56,25,5,3,3.26,888,243,25,1,.230,1.14,.500,.296,3.23,6.2,1.9,8.3,0.7,14.6,44.4,25,-0.10,0.016,3.69,7.49,7.49,0.74,1.87
1,Dainty,Strong,BSD,26,SP,2.7,7,6,3.71,20,20,97.0,1,0,0,84,33,91,40,10,2,3.33,1540,407,41,1,.224,1.28,.538,.310,2.55,7.8,3.1,8.4,0.9,15.9,77.0,41,0.77,0.026,3.88,8.86,8.86,0.87,2.70
1,Erick,Cooker,CHI,25,SP/RP,1.6,0,7,3.72,20,20,72.2,0,0,0,56,30,75,30,11,3,3.70,1103,317,32,0,.237,1.44,.000,.341,1.87,6.9,3.7,9.3,1.4,15.2,55.2,32,-0.02,0.019,3.96,3.52,3.45,0.34,1.63
1,Carlito,Floral,KBC,35,RP,0.6,5,1,3.74,29,0,33.2,0,0,4,18,17,35,14,2,0,3.51,626,151,16,0,.232,1.54,.833,.344,1.06,4.8,4.5,9.4,0.5,18.6,21.6,16,0.05,0.009,4.29,0.52,0.56,0.05,0.61
1,Langston,Growles,NYN,37,SP/RP,1.7,5,3,3.75,35,9,69.2,0,0,0,43,29,75,29,7,2,3.57,1093,307,30,1,.244,1.49,.625,.345,1.48,5.6,3.7,9.7,0.9,15.7,31.2,30,-0.12,0.018,3.86,4.67,4.57,0.45,1.68
1,Leon,Esparza,MTL,34,RP,1.1,8,4,3.76,43,0,52.2,0,0,5,46,21,51,22,5,1,3.35,877,228,25,1,.224,1.37,.667,.320,2.19,7.9,3.6,8.7,0.9,16.7,20.4,25,-1.00,0.014,4.10,2.47,2.60,0.26,1.13
1,DJ,Mueller,SCS,31,SP,1.7,5,2,3.76,12,12,55.0,1,0,0,48,15,58,23,6,2,3.30,837,235,23,0,.247,1.33,.714,.319,3.20,7.9,2.5,9.5,1.0,15.2,69.8,23,-0.31,0.014,3.71,7.02,7.02,0.69,1.73
1,Evermore,Nixon,VAL,30,SP,2.9,5,8,3.77,20,20,105.0,4,1,0,83,32,89,44,11,3,3.36,1563,433,44,1,.206,1.15,.385,.286,2.59,7.1,2.7,7.6,0.9,14.9,78.2,44,1.90,0.028,3.93,8.91,8.91,0.87,2.86
1,Henry,Yurt,GLA,27,SP,2.6,9,4,3.78,20,20,97.2,3,2,0,71,27,106,41,7,4,3.24,1529,427,46,1,.248,1.36,.692,.321,2.63,6.5,2.5,9.8,0.6,15.7,76.5,46,-0.46,0.026,4.20,7.34,7.34,0.72,2.55
1,Graysen,Church,CHI,21,SP,2.1,7,4,3.79,20,20,95.0,3,2,0,73,37,91,40,14,2,3.64,1467,412,47,2,.221,1.35,.636,.316,1.97,6.9,3.5,8.6,1.3,15.4,73.4,47,-0.03,0.025,4.45,3.01,3.01,0.29,2.09
1,Danger,Palace,SPT,26,SP,1.7,5,3,3.79,12,11,59.1,2,1,0,58,21,58,25,5,1,3.18,885,252,26,0,.230,1.33,.625,.317,2.76,8.8,3.2,8.8,0.8,14.9,73.8,26,-0.53,0.016,3.86,5.51,5.51,0.54,1.66
1,Evangeline,Arceus,NYN,31,RP,1.2,9,3,3.80,48,0,64.0,0,0,0,41,21,69,27,5,2,3.37,1024,277,31,1,.249,1.41,.750,.332,1.95,5.8,3.0,9.7,0.7,16.0,21.1,31,-0.11,0.017,4.34,0.85,0.82,0.08,1.16
1,Deacon,Hughes,NYF,23,RP,1.0,7,1,3.80,36,0,45.0,0,0,0,35,13,48,19,6,2,3.49,739,192,20,0,.250,1.36,.875,.328,2.69,7.0,2.6,9.6,1.2,16.4,20.5,20,-0.17,0.012,3.97,2.49,2.40,0.24,0.99
1,Omar,Cox,BOS,32,SP,3.3,7,6,3.82,20,20,103.2,1,1,0,76,21,103,44,12,3,3.34,1567,431,45,1,.239,1.20,.538,.295,3.62,6.6,1.8,8.9,1.0,15.1,78.4,45,-1.50,0.027,3.78,13.75,13.75,1.35,3.30
1,Cullen,Houndstooth,PIT,32,SP,2.2,3,5,3.83,20,20,96.1,2,0,0,92,31,104,41,13,5,3.42,1528,420,46,0,.248,1.40,.375,.133,2.97,8.6,2.9,9.7,1.2,15.9,76.4,46,0.34,0.025,4.33,4.33,4.33,0.43,2.24
1,Tiddly,Merritt,KBC,35,SP/RP,1.6,10,5,3.84,44,1,72.2,0,0,6,56,29,67,31,8,1,3.48,1142,308,33,2,.218,1.32,.667,.315,1.93,6.9,3.6,8.3,1.0,15.7,26.0,33,0.08,0.019,4.10,2.67,2.90,0.28,1.57
1,James,Parra,NYN,24,CL,1.1,4,5,3.88,42,0,53.1,0,0,22,44,16,52,23,4,3,3.23,841,222,24,3,.234,1.28,.444,.320,2.75,7.4,2.7,8.8,0.7,15.8,20.0,24,-0.08,0.014,4.04,2.53,2.52,0.25,1.14
1,Antonio,O'Connell,SCS,29,SP,2.8,2,5,3.88,20,20,99.2,0,0,0,67,29,103,43,10,4,3.42,1565,423,45,0,.243,1.32,.286,.322,2.31,6.1,2.6,9.3,0.9,15.7,78.3,45,-0.59,0.026,4.01,9.43,9.43,0.93,2.80
1,Jerome,Presidente,SEO,34,SP,2.6,3,9,3.88,20,20,97.1,1,0,0,75,26,104,42,7,4,3.21,1509,423,45,0,.246,1.34,.250,.317,2.88,6.9,2.4,9.6,0.6,15.5,75.5,45,1.44,0.026,4.29,8.01,8.01,0.79,2.62
1,Shiny,Tran,CDMX,34,RP,0.4,2,1,3.90,27,0,27.2,0,0,3,10,12,31,12,3,3,3.87,447,127,14,0,.244,1.55,.667,.362,0.83,3.3,3.9,10.1,1.0,16.2,16.6,14,0.10,0.007,4.59,-0.39,-0.39,-0.04,0.42
1,Rosie,O'Donnell,BBR,43,SP,2.5,2,8,3.91,20,20,94.1,2,1,0,74,27,99,41,11,5,3.42,1523,407,42,0,.243,1.34,.200,.322,2.74,7.1,2.6,9.4,1.0,16.1,76.2,42,0.55,0.025,4.06,7.64,7.64,0.75,2.53
1,Kyla,Sullivan,BSD,25,RP,1.1,8,1,3.93,48,0,55.0,0,0,0,39,19,43,24,6,1,3.46,841,225,24,1,.191,1.13,.889,.280,2.05,6.4,3.1,7.0,1.0,15.3,17.5,24,0.44,0.014,4.00,2.22,2.14,0.21,1.13
1,Lilly,Woods,PDX,32,RP,1.1,6,1,3.93,42,0,52.2,0,0,1,42,16,55,23,5,0,3.28,865,229,24,0,.240,1.35,.857,.310,2.63,7.2,2.7,9.4,0.9,16.4,20.6,24,-0.12,0.014,4.08,2.60,2.55,0.25,1.13
1,Jamir,Bonventre,MFP,33,SP,2.6,8,6,3.93,21,20,103.0,2,1,0,74,22,116,45,21,2,3.74,1511,436,48,0,.266,1.34,.571,.321,3.36,6.5,1.9,10.1,1.8,14.7,72.0,48,0.02,0.027,4.20,6.78,6.78,0.67,2.61
1,JC,Gonzales,PIT,38,SP/RP,1.4,6,3,3.93,32,9,66.1,0,0,4,42,22,47,29,12,3,3.84,980,269,30,2,.175,1.04,.667,.268,1.91,5.7,3.0,6.4,1.6,14.8,30.6,30,0.23,0.017,4.10,2.17,2.34,0.23,1.41
1,Chard,Rilow,BUS,26,SP,2.8,6,7,3.94,20,20,98.1,0,0,0,75,32,87,43,11,4,3.44,1606,415,46,0,.210,1.21,.462,.296,2.34,6.9,2.9,8.0,1.0,16.3,80.3,46,-0.23,0.026,4.19,9.24,9.24,0.91,2.76
